Time.Stamp, Delta.Time, PM_2.5, PM_10
2019-10-22 15:38:24, 1032,   8.80,  10.70
2019-10-22 15:38:27, 1034,   8.90,  10.60
2019-10-22 15:38:29, 1036,   8.80,  10.30
2019-10-22 15:38:31, 1038,   8.80,  10.00
2019-10-22 15:38:33, 1040,   8.70,   9.80
2019-10-22 15:38:35, 1042,   8.90,  10.00
2019-10-22 15:38:37, 1045,   8.90,  11.20
2019-10-22 15:38:39, 1047,   8.90,  11.10
2019-10-22 15:38:41, 1049,   8.80,  11.40
2019-10-22 15:38:43, 1051,   9.10,  11.90
2019-10-22 15:38:45, 1053,   9.20,  12.50
2019-10-22 15:38:48, 1055,   9.20,  12.30
2019-10-22 15:38:50, 1057,   9.30,  13.20
2019-10-22 15:38:52, 1059,   9.40,  13.70
2019-10-22 15:38:54, 1061,   9.40,  14.00
2019-10-22 15:38:56, 1063,   9.40,  13.70
2019-10-22 15:38:58, 1066,   9.30,  13.80
2019-10-22 15:39:00, 1068,   9.20,  13.70
2019-10-22 15:39:02, 1070,   9.20,  14.10
2019-10-22 15:39:04, 1072,   9.10,  14.30
2019-10-22 15:39:06, 1074,   9.10,  14.10
2019-10-22 15:39:09, 1076,   9.20,  13.00
2019-10-22 15:39:11, 1078,   9.40,  13.50
2019-10-22 15:39:13, 1080,   9.40,  13.40
2019-10-22 15:39:15, 1082,   9.30,  12.90
2019-10-22 15:39:17, 1084,   9.20,  12.50
2019-10-22 15:39:19, 1087,   9.00,  11.20
2019-10-22 15:39:21, 1089,   9.00,  10.80
2019-10-22 15:39:23, 1091,   8.90,  11.00
2019-10-22 15:39:25, 1093,   9.00,  10.60
2019-10-22 15:39:27, 1095,   9.10,  10.80
2019-10-22 15:39:30, 1097,   9.00,  11.50
2019-10-22 15:39:32, 1099,   9.00,  11.20
2019-10-22 15:39:34, 1101,   8.90,  11.00
2019-10-22 15:39:36, 1103,   8.90,  10.90
2019-10-22 15:39:38, 1105,   8.70,  10.70
2019-10-22 15:39:40, 1108,   8.80,  11.60
2019-10-22 15:39:42, 1110,   8.60,  11.20
2019-10-22 15:39:44, 1112,   8.80,  11.40
2019-10-22 15:39:46, 1114,   8.70,  11.50
